name,room_type,star_rating,review_score,price,neighbourhood,latitude,longitude,distance_from_center,source,url
The Muse Amsterdam - Boutique Hotel,Hotel room,3.0,4.15,111.71,Oud Zuid,52.3531063,4.8809813,2.3,booking,https://www.booking.com/hotel/nl/bronckhorst.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=23705911_91913261_0_2_0&highlighted_blocks=23705911_91913261_0_2_0&matching_block_id=23705911_91913261_0_2_0&sr_pri_blocks=23705911_91913261_0_2_0__78222&from=searchresults
citizenM Amsterdam South,Hotel room,4.0,4.35,115.29,Zuideramstel,52.341942,4.8759721,3.6,booking,https://www.booking.com/hotel/nl/citizenm-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=2626301_104176813_2_2_0_636854&highlighted_blocks=2626301_104176813_2_2_0_636854&matching_block_id=2626301_104176813_2_2_0_636854&sr_pri_blocks=2626301_104176813_2_2_0_636854_80709&from=searchresults
Ruby Emma Hotel Amsterdam,Hotel room,4.0,4.4,104.71,Oost,52.3383105,4.9207324,4.3,booking,https://www.booking.com/hotel/nl/ruby-emma.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=192656039_417176730_2_2_0&highlighted_blocks=192656039_417176730_2_2_0&matching_block_id=192656039_417176730_2_2_0&sr_pri_blocks=192656039_417176730_2_2_0__73306&from_sustainable_property_sr=1&from=searchresults
Inntel Hotels Amsterdam Landmark,Hotel room,4.0,4.1,167.86,Amsterdam City Centre,52.3734088,4.928381,2.4,booking,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-landmark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=706020409_0_2_0_0&highlighted_blocks=706020409_0_2_0_0&matching_block_id=706020409_0_2_0_0&sr_pri_blocks=706020409_0_2_0_0__117526&from=searchresults
Urban Lodge Hotel,Hotel room,4.0,4.15,96.0,Westpoort,52.3852579,4.8343631,4.2,booking,https://www.booking.com/hotel/nl/urban-lodge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=158745302_0_2_0_0&highlighted_blocks=158745302_0_2_0_0&matching_block_id=158745302_0_2_0_0&sr_pri_blocks=158745302_0_2_0_0__67190&from=searchresults
The Social Hub Amsterdam City,Hotel room,4.0,4.3,120.71,Oost,52.3544223,4.9130877,2.4,booking,https://www.booking.com/hotel/nl/the-social-hub-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=138402402_0_2_0_0&highlighted_blocks=138402402_0_2_0_0&matching_block_id=138402402_0_2_0_0&sr_pri_blocks=138402402_0_2_0_0__84478&from=searchresults
Via Amsterdam,Private room,3.0,4.0,69.43,Bijlmermeer,,,6.6,booking,https://www.booking.com/hotel/nl/via-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=259366905_0_2_0_0&highlighted_blocks=259366905_0_2_0_0&matching_block_id=259366905_0_2_0_0&sr_pri_blocks=259366905_0_2_0_0__48580&from=searchresults
Joy Hotel,Hotel room,3.0,3.9,76.57,Zuidoost,52.3052314,4.9502689,8.5,booking,https://www.booking.com/hotel/nl/joy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=257037513_0_2_0_0&highlighted_blocks=257037513_0_2_0_0&matching_block_id=257037513_0_2_0_0&sr_pri_blocks=257037513_0_2_0_0__53616&from=searchresults
Hotel Casa Amsterdam,Hotel room,3.0,4.45,110.57,Oost,52.3500021,4.9185533,3.1,booking,https://www.booking.com/hotel/nl/casa-400.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=17112403_91909831_0_2_0&highlighted_blocks=17112403_91909831_0_2_0&matching_block_id=17112403_91909831_0_2_0&sr_pri_blocks=17112403_91909831_0_2_0__77394&from_sustainable_property_sr=1&from=searchresults
Holiday Inn Express Amsterdam - Sloterdijk Station by IHG,Hotel room,3.0,4.1,96.14,Westpoort,52.3881556,4.8376202,4.1,booking,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-slotendijk-station.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=34122802_94428862_2_1_0&highlighted_blocks=34122802_94428862_2_1_0&matching_block_id=34122802_94428862_2_1_0&sr_pri_blocks=34122802_94428862_2_1_0__67293&from_sustainable_property_sr=1&from=searchresults
