name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url
The Muse Amsterdam - Boutique Hotel,782,1,3,8.3,2082.0,Small Double Room,Oud Zuid,2.3,https://www.booking.com/hotel/nl/bronckhorst.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=23705911_91913261_0_2_0&highlighted_blocks=23705911_91913261_0_2_0&matching_block_id=23705911_91913261_0_2_0&sr_pri_blocks=23705911_91913261_0_2_0__78222&from=searchresults
citizenM Amsterdam South,807,1,4,8.7,5903.0,King Room,Zuideramstel,3.6,https://www.booking.com/hotel/nl/citizenm-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=2626301_104176813_2_2_0_636854&highlighted_blocks=2626301_104176813_2_2_0_636854&matching_block_id=2626301_104176813_2_2_0_636854&sr_pri_blocks=2626301_104176813_2_2_0_636854_80709&from=searchresults
Ruby Emma Hotel Amsterdam,733,1,4,8.8,8994.0,Mate Room,Oost,4.3,https://www.booking.com/hotel/nl/ruby-emma.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=192656039_417176730_2_2_0&highlighted_blocks=192656039_417176730_2_2_0&matching_block_id=192656039_417176730_2_2_0&sr_pri_blocks=192656039_417176730_2_2_0__73306&from_sustainable_property_sr=1&from=searchresults
Inntel Hotels Amsterdam Landmark,1175,1,4,8.2,10966.0,City Twin Room,Amsterdam City Centre,2.4,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-landmark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=706020409_0_2_0_0&highlighted_blocks=706020409_0_2_0_0&matching_block_id=706020409_0_2_0_0&sr_pri_blocks=706020409_0_2_0_0__117526&from=searchresults
Urban Lodge Hotel,672,1,4,8.3,3000.0,Standard Double or Twin Room,Westpoort,4.2,https://www.booking.com/hotel/nl/urban-lodge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=158745302_0_2_0_0&highlighted_blocks=158745302_0_2_0_0&matching_block_id=158745302_0_2_0_0&sr_pri_blocks=158745302_0_2_0_0__67190&from=searchresults
The Social Hub Amsterdam City,845,1,4,8.6,10884.0,Executive Queen Room,Oost,2.4,https://www.booking.com/hotel/nl/the-social-hub-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=138402402_0_2_0_0&highlighted_blocks=138402402_0_2_0_0&matching_block_id=138402402_0_2_0_0&sr_pri_blocks=138402402_0_2_0_0__84478&from=searchresults
Via Amsterdam,486,1,3,8.0,16016.0,Twin Room with Private Bathroom,Bijlmermeer,6.6,https://www.booking.com/hotel/nl/via-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=259366905_0_2_0_0&highlighted_blocks=259366905_0_2_0_0&matching_block_id=259366905_0_2_0_0&sr_pri_blocks=259366905_0_2_0_0__48580&from=searchresults
Joy Hotel,536,1,3,7.8,7790.0,Budget Double Room without Window,Zuidoost,8.5,https://www.booking.com/hotel/nl/joy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=257037513_0_2_0_0&highlighted_blocks=257037513_0_2_0_0&matching_block_id=257037513_0_2_0_0&sr_pri_blocks=257037513_0_2_0_0__53616&from=searchresults
Hotel Casa Amsterdam,774,1,3,8.9,10439.0,Double Room,Oost,3.1,https://www.booking.com/hotel/nl/casa-400.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=17112403_91909831_0_2_0&highlighted_blocks=17112403_91909831_0_2_0&matching_block_id=17112403_91909831_0_2_0&sr_pri_blocks=17112403_91909831_0_2_0__77394&from_sustainable_property_sr=1&from=searchresults
Holiday Inn Express Amsterdam - Sloterdijk Station by IHG,673,1,3,8.2,9796.0,Standard Twin Room - Free Breakfast,Westpoort,4.1,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-slotendijk-station.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=34122802_94428862_2_1_0&highlighted_blocks=34122802_94428862_2_1_0&matching_block_id=34122802_94428862_2_1_0&sr_pri_blocks=34122802_94428862_2_1_0__67293&from_sustainable_property_sr=1&from=searchresults
ClinkNOORD Hostel,691,1,3,8.0,16435.0,Private twin en-suite room,Amsterdam Noord,1.5,https://www.booking.com/hotel/nl/clinknoord.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=132464808_93250478_0_2_0_1185076&highlighted_blocks=132464808_93250478_0_2_0_1185076&matching_block_id=132464808_93250478_0_2_0_1185076&sr_pri_blocks=132464808_93250478_0_2_0_1185076_69126&from=searchresults
Holiday Inn Express Amsterdam Arena Towers by IHG,611,1,3,8.0,18236.0,Standard Double Room,Zuidoost,7.8,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-arena-towers.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=104274802_94579769_2_41_0&highlighted_blocks=104274802_94579769_2_41_0&matching_block_id=104274802_94579769_2_41_0&sr_pri_blocks=104274802_94579769_2_41_0__61067&from_sustainable_property_sr=1&from=searchresults
ibis Amsterdam Centre,1036,1,3,7.7,9996.0,Small Twin Room,Amsterdam City Centre,0.8,https://www.booking.com/hotel/nl/ibiscentre.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1042218_95453819_2_2_0&highlighted_blocks=1042218_95453819_2_2_0&matching_block_id=1042218_95453819_2_2_0&sr_pri_blocks=1042218_95453819_2_2_0__103561&from_sustainable_property_sr=1&from=searchresults
Hotel Estheréa,1943,1,4,9.2,4422.0,Double or Twin Room with Bathroom,Amsterdam City Centre,400.0,https://www.booking.com/hotel/nl/estherea.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1019209_376035474_0_2_0&highlighted_blocks=1019209_376035474_0_2_0&matching_block_id=1019209_376035474_0_2_0&sr_pri_blocks=1019209_376035474_0_2_0__194277&from=searchresults
Novotel Amsterdam City,800,1,4,8.5,6450.0,Standard Queen Room,Zuideramstel,4.4,https://www.booking.com/hotel/nl/novotel-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1016030_95128104_2_2_0&highlighted_blocks=1016030_95128104_2_2_0&matching_block_id=1016030_95128104_2_2_0&sr_pri_blocks=1016030_95128104_2_2_0__79951&from_sustainable_property_sr=1&from=searchresults
Tribe Amsterdam City,702,1,4,9.0,7787.0,Twin Room,Amsterdam Noord,4.2,https://www.booking.com/hotel/nl/tribe-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=788625404_338509456_2_2_0_635861&highlighted_blocks=788625404_338509456_2_2_0_635861&matching_block_id=788625404_338509456_2_2_0_635861&sr_pri_blocks=788625404_338509456_2_2_0_635861_70191&from_sustainable_property_sr=1&from=searchresults
Holiday Inn Express Amsterdam - North Riverside by IHG,718,1,3,8.2,12488.0,Standard Twin Room with Free Breakfast,Amsterdam Noord,2.2,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=633186202_247251398_2_41_0&highlighted_blocks=633186202_247251398_2_41_0&matching_block_id=633186202_247251398_2_41_0&sr_pri_blocks=633186202_247251398_2_41_0__71794&from_sustainable_property_sr=1&from=searchresults
Wittenberg by Cove,1273,1,4,9.0,594.0,Studio Apartment,Amsterdam City Centre,1.4,https://www.booking.com/hotel/nl/wiittenberg.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=265770001_105599917_0_0_0_1177135&highlighted_blocks=265770001_105599917_0_0_0_1177135&matching_block_id=265770001_105599917_0_0_0_1177135&sr_pri_blocks=265770001_105599917_0_0_0_1177135_127266&from=searchresults
Generator Amsterdam,729,1,3,7.8,7653.0,Superior Twin,Oost,2.2,https://www.booking.com/hotel/nl/generator-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=167053101_139595415_0_2_0&highlighted_blocks=167053101_139595415_0_2_0&matching_block_id=167053101_139595415_0_2_0&sr_pri_blocks=167053101_139595415_0_2_0__72940&from=searchresults
Motel One Amsterdam,735,1,3,8.6,12877.0,Double Room,Zuideramstel,3.8,https://www.booking.com/hotel/nl/motel-one-amsterdam-rai.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=143840302_326843453_2_2_0&highlighted_blocks=143840302_326843453_2_2_0&matching_block_id=143840302_326843453_2_2_0&sr_pri_blocks=143840302_326843453_2_2_0__73457&from_sustainable_property_sr=1&from=searchresults
Mercure Amsterdam City Hotel,731,1,4,8.3,3964.0,Classic Double Room,Oost,4.4,https://www.booking.com/hotel/nl/mercure-amstel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=1011819_95128006_2_42_0&highlighted_blocks=1011819_95128006_2_42_0&matching_block_id=1011819_95128006_2_42_0&sr_pri_blocks=1011819_95128006_2_42_0__73050&from_sustainable_property_sr=1&from=searchresults
