name,price,nro_of_nights,star_rating,review_score,review_count,room_type,part_of_city,distance_from_center,url,address,source,clean_address,latitude,longitude
The Muse Amsterdam - Boutique Hotel,111.71,1,3.0,8.3,2082.0,Small Double Room,Oud Zuid,2.3,https://www.booking.com/hotel/nl/bronckhorst.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=23705911_91913261_0_2_0&highlighted_blocks=23705911_91913261_0_2_0&matching_block_id=23705911_91913261_0_2_0&sr_pri_blocks=23705911_91913261_0_2_0__78222&from=searchresults,"Bronckhorststraat 14, Oud Zuid, 1071 WR Amsterdam, Netherlands
location — rated 9/10!",booking,"Bronckhorststraat 14, 1071 WR Amsterdam, Netherlands",52.3531063,4.8809813
citizenM Amsterdam South,115.29,1,4.0,8.7,5903.0,King Room,Zuideramstel,3.6,https://www.booking.com/hotel/nl/citizenm-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=2626301_104176813_2_2_0_636854&highlighted_blocks=2626301_104176813_2_2_0_636854&matching_block_id=2626301_104176813_2_2_0_636854&sr_pri_blocks=2626301_104176813_2_2_0_636854_80709&from=searchresults,"Prinses Irenestraat 30, Zuideramstel, 1077 WX Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Prinses Irenestraat 30, 1077 WX Amsterdam, Netherlands",52.341942,4.8759721
Ruby Emma Hotel Amsterdam,104.71,1,4.0,8.8,8994.0,Mate Room,Oost,4.3,https://www.booking.com/hotel/nl/ruby-emma.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=192656039_417176730_2_2_0&highlighted_blocks=192656039_417176730_2_2_0&matching_block_id=192656039_417176730_2_2_0&sr_pri_blocks=192656039_417176730_2_2_0__73306&from_sustainable_property_sr=1&from=searchresults,"Amstelvlietstraat 4, Oost, 1096 GG Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Amstelvlietstraat 4, 1096 GG Amsterdam, Netherlands",52.3383105,4.9207324
Inntel Hotels Amsterdam Landmark,167.86,1,4.0,8.2,10966.0,City Twin Room,Amsterdam City Centre,2.4,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-landmark.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=706020409_0_2_0_0&highlighted_blocks=706020409_0_2_0_0&matching_block_id=706020409_0_2_0_0&sr_pri_blocks=706020409_0_2_0_0__117526&from=searchresults,"VOC-kade 600, Amsterdam City Centre, 1018 LG Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"VOC-kade 600, 1018 LG Amsterdam, Netherlands",52.3734088,4.928381
Urban Lodge Hotel,96.0,1,4.0,8.3,3000.0,Standard Double or Twin Room,Westpoort,4.2,https://www.booking.com/hotel/nl/urban-lodge.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=158745302_0_2_0_0&highlighted_blocks=158745302_0_2_0_0&matching_block_id=158745302_0_2_0_0&sr_pri_blocks=158745302_0_2_0_0__67190&from=searchresults,"Arlandaweg 10, Westpoort, 1043 EW Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Arlandaweg 10, 1043 EW Amsterdam, Netherlands",52.3852579,4.8343631
The Social Hub Amsterdam City,120.71,1,4.0,8.6,10884.0,Executive Queen Room,Oost,2.4,https://www.booking.com/hotel/nl/the-social-hub-amsterdam-city.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=138402402_0_2_0_0&highlighted_blocks=138402402_0_2_0_0&matching_block_id=138402402_0_2_0_0&sr_pri_blocks=138402402_0_2_0_0__84478&from=searchresults,"Wibautstraat 129, Oost, 1091 GL Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Wibautstraat 129, 1091 GL Amsterdam, Netherlands",52.3544223,4.9130877
Via Amsterdam,69.43,1,3.0,8.0,16016.0,Twin Room with Private Bathroom,Bijlmermeer,6.6,https://www.booking.com/hotel/nl/via-amsterdam.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=259366905_0_2_0_0&highlighted_blocks=259366905_0_2_0_0&matching_block_id=259366905_0_2_0_0&sr_pri_blocks=259366905_0_2_0_0__48580&from=searchresults,"20 Diemerhof Via Amsterdam, 1112 XN Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"20 Diemerhof Via Amsterdam, 1112 XN Amsterdam, Netherlands",,
Joy Hotel,76.57,1,3.0,7.8,7790.0,Budget Double Room without Window,Zuidoost,8.5,https://www.booking.com/hotel/nl/joy.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=257037513_0_2_0_0&highlighted_blocks=257037513_0_2_0_0&matching_block_id=257037513_0_2_0_0&sr_pri_blocks=257037513_0_2_0_0__53616&from=searchresults,"385 Hullenbergweg, Zuidoost, 1101 CS Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"385 Hullenbergweg, 1101 CS Amsterdam, Netherlands",52.3052314,4.9502689
Hotel Casa Amsterdam,110.57,1,3.0,8.9,10439.0,Double Room,Oost,3.1,https://www.booking.com/hotel/nl/casa-400.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=17112403_91909831_0_2_0&highlighted_blocks=17112403_91909831_0_2_0&matching_block_id=17112403_91909831_0_2_0&sr_pri_blocks=17112403_91909831_0_2_0__77394&from_sustainable_property_sr=1&from=searchresults,"Eerste Ringdijkstraat 4, Oost, 1097 BC Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Eerste Ringdijkstraat 4, 1097 BC Amsterdam, Netherlands",52.3500021,4.9185533
Holiday Inn Express Amsterdam - Sloterdijk Station by IHG,96.14,1,3.0,8.2,9796.0,Standard Twin Room - Free Breakfast,Westpoort,4.1,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-slotendijk-station.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9hbXN0ZXJkYW1IM1gEaKkBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAKTs5DGBsACAdICJDhmMTgzOTUwLTUzYjUtNDU2ZC04N2NmLWU2N2YwNDIxNTFlM9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-12-15&checkout=2025-12-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=40745b89837d047f&srepoch=1757682069&all_sr_blocks=34122802_94428862_2_1_0&highlighted_blocks=34122802_94428862_2_1_0&matching_block_id=34122802_94428862_2_1_0&sr_pri_blocks=34122802_94428862_2_1_0__67293&from_sustainable_property_sr=1&from=searchresults,"Zaventemweg 3, Westpoort, 1043 EH Amsterdam, Netherlands
After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.",booking,"Zaventemweg 3, 1043 EH Amsterdam, Netherlands",52.3881556,4.8376202
